,level_0,index,Name,Ceiling_price,Floor_price,Local_price,Close,Change_price,Change_percent,Volume,High,Low,Foreign_investor_buy,Foregin_investor_sell,check
0,0,0,AAA,16.75,14.65,15.7,15.7,0.0,0.0,261630.0,15.9,15.65,1160.0,6150.0,False
1,1,1,AAM,11.7,10.2,10.95,11.25,0.3,2.7,270.0,11.4,10.95,0.0,0.0,False
2,2,2,AAT,23.6,20.6,22.1,22.0,-0.1,-0.5,45260.0,22.3,21.8,70.0,0.0,False
3,3,3,ABS,21.8,19.0,20.4,20.95,0.55,2.7,89760.0,21.75,20.5,0.0,0.0,False
4,4,4,ABT,34.1,29.7,31.9,32.0,0.1,0.3,340.0,32.1,31.9,0.0,0.0,False
5,5,5,ACB,33.5,29.2,31.35,31.55,0.2,0.6,439480.0,31.6,31.3,0.0,0.0,False
6,6,6,ACC,17.75,15.45,16.6,16.6,0.0,0.0,3060.0,16.8,16.5,30.0,0.0,False
7,7,7,ACL,13.5,11.8,12.65,12.65,0.0,0.0,7620.0,13.0,12.65,0.0,0.0,False
8,8,8,ADG,44.9,39.1,42.0,42.0,0.0,0.0,12120.0,42.2,41.8,10.0,0.0,False
9,9,9,ADS,37.5,32.6,35.05,37.3,2.25,6.4,93480.0,37.5,35.05,20.0,390.0,False
10,10,10,AGG,45.3,39.4,42.35,42.3,-0.05,-0.1,26310.0,42.85,42.25,690.0,0.0,False
11,11,11,AGM,38.05,33.15,35.6,36.5,0.9,2.5,2180.0,37.0,35.6,0.0,0.0,False
12,12,12,AGR,17.4,15.2,16.3,16.2,-0.1,-0.6,103030.0,16.55,16.2,50.0,2340.0,False
13,13,13,AMD,5.1,4.44,4.77,4.8,0.03,0.6,153420.0,4.95,4.76,1910.0,1050.0,False
14,14,14,ANV,30.45,26.55,28.5,28.65,0.15,0.5,22790.0,28.8,28.5,0.0,0.0,False
15,15,15,APC,24.55,21.35,22.95,23.35,0.4,1.7,3930.0,23.8,22.6,30.0,0.0,False
16,16,16,APG,18.7,16.3,17.5,18.7,1.2,6.9,135230.0,18.7,18.0,3640.0,30.0,False
17,17,17,APH,43.4,37.8,40.6,40.6,0.0,0.0,121040.0,40.85,40.05,350.0,500.0,False
18,18,18,ASG,30.8,26.8,28.8,28.3,-0.5,-1.7,4520.0,29.0,27.5,0.0,0.0,False
19,19,19,ASM,16.25,14.15,15.2,15.2,0.0,0.0,124190.0,15.4,15.1,30.0,17820.0,False
20,20,20,ASP,14.65,12.75,13.7,13.95,0.25,1.8,164470.0,14.65,13.5,80.0,0.0,False
21,21,21,AST,60.4,52.6,56.5,56.5,0.0,0.0,1170.0,56.5,55.8,10.0,50.0,False
22,22,22,BBC,65.2,56.8,61.0,63.4,2.4,3.9,20.0,63.4,63.4,20.0,0.0,False
23,23,23,BCE,15.05,13.15,14.1,14.05,-0.05,-0.4,60470.0,14.3,13.9,5660.0,110.0,False
24,24,24,BCG,19.15,16.65,17.9,18.05,0.15,0.8,224040.0,18.35,17.9,250.0,6270.0,False
25,25,25,BCM,47.5,41.3,44.4,44.6,0.2,0.5,3690.0,45.0,44.2,10.0,0.0,False
26,26,26,BFC,35.25,30.65,32.95,34.25,1.3,3.9,82130.0,34.85,33.0,0.0,1050.0,False
27,27,27,BHN,64.5,56.1,60.3,62.0,1.7,2.8,210.0,63.0,62.0,0.0,0.0,False
28,28,28,BIC,31.1,27.1,29.1,28.8,-0.3,-1.0,11130.0,29.1,28.25,4240.0,6110.0,False
29,29,29,BID,42.65,37.15,39.9,39.45,-0.45,-1.1,109730.0,40.0,39.35,1030.0,41010.0,False
30,30,30,BKG,10.9,9.49,10.2,10.2,0.0,0.0,65650.0,10.35,10.1,0.0,1350.0,False
31,31,31,BMC,34.0,29.6,31.8,31.5,-0.3,-0.9,39450.0,33.95,31.5,820.0,7780.0,False
32,32,32,BMI,43.95,38.25,41.1,40.9,-0.2,-0.5,91030.0,41.3,40.5,3040.0,430.0,False
33,33,33,BMP,56.4,49.15,52.8,52.8,0.0,0.0,6380.0,53.6,52.8,810.0,5460.0,False
34,34,34,BRC,16.35,14.25,15.3,15.45,0.15,1.0,430.0,15.5,15.0,0.0,20.0,False
35,35,35,BSI,28.75,25.05,26.9,26.8,-0.1,-0.4,38550.0,27.2,26.65,1680.0,5600.0,False
36,36,36,BTP,17.65,15.35,16.5,17.65,1.15,7.0,13180.0,17.65,16.3,0.0,0.0,False
37,37,37,BVH,62.0,54.0,58.0,58.4,0.4,0.7,158570.0,59.5,58.4,230.0,6300.0,False
38,38,38,BWE,42.45,36.95,39.7,40.7,1.0,2.5,28800.0,40.9,39.75,12480.0,660.0,False
39,39,39,C32,33.15,28.85,31.0,31.5,0.5,1.6,16950.0,31.85,31.2,50.0,180.0,False
40,40,40,C47,14.3,12.5,13.4,13.15,-0.25,-1.9,44220.0,13.6,13.0,960.0,100.0,False
41,41,41,CAV,64.7,56.3,60.5,60.6,0.1,0.2,300.0,64.0,60.5,10.0,0.0,False
42,42,42,CCL,15.15,13.25,14.2,14.0,-0.2,-1.4,45690.0,14.5,13.95,0.0,1770.0,False
43,43,43,CDC,15.7,13.7,14.7,14.7,0.0,0.0,730.0,14.8,14.7,560.0,0.0,False
44,44,44,CEE,14.4,12.6,13.5,13.5,0.0,0.0,20.0,13.5,13.5,0.0,0.0,False
45,45,51,CHP,20.5,17.9,19.2,19.2,0.0,0.0,1820.0,19.25,19.0,0.0,0.0,False
46,46,56,CIG,7.9,6.88,7.39,7.08,-0.31,-4.2,7950.0,7.59,7.08,0.0,0.0,False
47,47,57,CII,18.8,16.4,17.6,17.75,0.15,0.9,185260.0,18.0,17.55,1640.0,2700.0,False
48,48,62,CKG,26.1,22.7,24.4,24.3,-0.1,-0.4,67300.0,24.5,24.0,0.0,340.0,False
49,49,63,CLC,38.25,33.25,35.75,35.75,0.0,0.0,1110.0,35.95,35.3,220.0,0.0,False
50,50,64,CLL,39.2,34.1,36.65,36.85,0.2,0.5,1330.0,37.5,36.7,0.0,50.0,False
51,51,68,CMG,63.0,54.8,58.9,58.8,-0.1,-0.2,4470.0,58.9,58.0,180.0,750.0,False
52,52,73,CMV,14.65,12.75,13.7,13.7,0.0,0.0,530.0,13.7,13.7,120.0,0.0,False
53,53,78,CMX,14.25,12.45,13.35,13.55,0.2,1.5,9930.0,13.65,13.4,0.0,0.0,False
54,54,79,CNG,38.15,33.25,35.7,36.0,0.3,0.8,68750.0,36.7,34.7,2750.0,930.0,False
55,55,84,CRC,11.55,10.05,10.8,11.15,0.35,3.2,30900.0,11.15,10.6,650.0,310.0,False
56,56,85,CRE,32.9,28.6,30.75,30.9,0.15,0.5,120880.0,31.5,30.75,0.0,0.0,False
57,57,86,CSM,19.0,16.6,17.8,18.0,0.2,1.1,4080.0,18.0,17.6,0.0,150.0,False
58,58,91,CSV,57.9,50.5,54.2,52.8,-1.4,-2.6,61010.0,54.5,52.8,10.0,4230.0,False
59,59,97,CTD,73.2,63.8,68.5,68.1,-0.4,-0.6,9270.0,68.7,67.8,70.0,0.0,False
60,60,98,CTF,21.25,18.55,19.9,19.95,0.05,0.3,32010.0,19.95,19.8,0.0,210.0,False
61,61,99,CTG,32.5,28.3,30.4,30.4,0.0,0.0,671700.0,30.85,30.4,204460.0,116530.0,False
62,62,100,CTI,16.95,14.75,15.85,15.9,0.05,0.3,49930.0,16.2,15.9,50.0,0.0,False
63,63,101,CTS,28.85,25.15,27.0,27.1,0.1,0.4,31090.0,27.5,27.05,20.0,20.0,False
64,64,121,D2D,56.2,48.95,52.6,53.0,0.4,0.8,5790.0,53.4,52.5,10.0,10.0,False
65,65,122,DAG,6.48,5.64,6.06,6.12,0.06,1.0,37580.0,6.24,6.05,120.0,0.0,False
66,66,123,DAH,9.18,7.98,8.58,8.88,0.3,3.5,37440.0,8.88,8.58,0.0,0.0,False
67,67,124,DAT,27.9,24.3,26.1,27.3,1.2,4.6,30.0,27.3,25.0,0.0,0.0,False
68,68,125,DBC,61.6,53.6,57.6,57.4,-0.2,-0.3,101360.0,58.7,57.2,430.0,34980.0,False
69,69,126,DBD,51.0,44.45,47.75,47.85,0.1,0.2,4850.0,47.95,47.5,120.0,10.0,False
70,70,127,DBT,16.35,14.25,15.3,15.4,0.1,0.7,4060.0,15.7,15.2,0.0,0.0,False
71,71,128,DC4,14.15,12.35,13.25,13.6,0.35,2.6,18780.0,13.6,13.35,0.0,0.0,False
72,72,129,DCL,37.45,32.55,35.0,35.8,0.8,2.3,3620.0,36.7,35.0,0.0,0.0,False
73,73,130,DCM,26.45,23.05,24.75,26.45,1.7,6.9,1052010.0,26.45,24.9,153090.0,14680.0,False
74,74,131,DGC,153.1,133.1,143.1,150.9,7.8,5.5,82820.0,152.0,143.2,5090.0,2500.0,False
75,75,132,DGW,121.1,105.3,113.2,118.7,5.5,4.9,99230.0,120.8,113.2,21190.0,430.0,False
76,76,133,DHA,52.0,45.25,48.65,48.5,-0.15,-0.3,5920.0,48.8,48.4,450.0,0.0,False
77,77,134,DHC,89.6,78.0,83.8,83.0,-0.8,-1.0,20750.0,86.0,82.7,4720.0,1910.0,False
78,78,135,DHG,105.2,91.6,98.4,99.9,1.5,1.5,780.0,100.9,98.8,0.0,0.0,False
79,79,136,DHM,13.6,11.9,12.75,13.05,0.3,2.4,24400.0,13.1,12.8,370.0,0.0,False
80,80,137,DIG,33.15,28.85,31.0,31.0,0.0,0.0,355540.0,32.0,30.95,0.0,300.0,False
81,81,138,DLG,4.28,3.72,4.0,4.1,0.1,2.5,905820.0,4.19,3.93,1730.0,23040.0,False
82,82,139,DMC,63.7,55.5,59.6,60.0,0.4,0.7,5540.0,62.0,59.6,50.0,0.0,False
83,83,140,DPG,57.5,50.1,53.8,53.8,0.0,0.0,80020.0,55.0,52.0,2440.0,2880.0,False
84,84,141,DPM,37.9,33.0,35.45,36.8,1.35,3.8,938110.0,37.35,35.35,360.0,85150.0,False
85,85,142,DPR,74.3,64.7,69.5,68.8,-0.7,-1.0,4510.0,69.7,68.6,360.0,0.0,False
86,86,143,DQC,24.05,20.95,22.5,22.85,0.35,1.6,4470.0,22.9,22.25,0.0,0.0,False
87,87,144,DRC,34.45,29.95,32.2,32.2,0.0,0.0,90570.0,32.7,32.1,12770.0,8020.0,False
88,88,145,DRH,16.85,14.65,15.75,15.9,0.15,1.0,236320.0,16.85,15.5,12710.0,3010.0,False
89,89,146,DRL,66.3,57.7,62.0,60.6,-1.4,-2.3,350.0,62.2,60.6,170.0,0.0,False
90,90,147,DSN,47.5,41.3,44.4,44.0,-0.4,-0.9,1330.0,44.5,44.0,40.0,0.0,False
91,91,148,DTA,18.9,16.5,17.7,18.8,1.1,6.2,10030.0,18.8,17.35,0.0,0.0,False
92,92,149,DTL,39.05,33.95,36.5,36.0,-0.5,-1.4,50.0,36.0,36.0,0.0,0.0,False
93,93,150,DVP,58.5,50.9,54.7,56.5,1.8,3.3,13590.0,57.4,55.5,5280.0,3140.0,False
94,94,151,DXG,20.35,17.75,19.05,19.1,0.05,0.3,199520.0,19.25,19.0,11860.0,410.0,False
95,95,152,DXS,30.4,26.5,28.45,28.6,0.15,0.5,28970.0,28.8,28.35,18430.0,4170.0,False
96,96,153,DXV,5.02,4.38,4.7,4.97,0.27,5.7,2370.0,4.98,4.71,30.0,0.0,False
97,97,155,EIB,25.1,21.9,23.5,23.6,0.1,0.4,12260.0,24.0,23.2,560.0,1180.0,False
98,98,156,ELC,27.8,24.2,26.0,26.95,0.95,3.7,99150.0,27.2,26.0,1040.0,2600.0,False
99,99,157,EMC,18.5,16.1,17.3,18.4,1.1,6.4,10.0,18.4,18.4,0.0,0.0,False
100,100,158,EVE,19.25,16.75,18.0,17.9,-0.1,-0.6,4740.0,18.35,17.55,1790.0,120.0,False
101,101,159,EVG,12.15,10.65,11.4,12.15,0.75,6.6,116090.0,12.15,11.4,0.0,0.0,False
102,102,160,FCM,7.81,6.79,7.3,7.38,0.08,1.1,20350.0,7.54,7.3,0.0,210.0,False
103,103,161,FCN,14.95,13.05,14.0,13.9,-0.1,-0.7,167040.0,14.2,13.85,0.0,10.0,False
104,104,162,FDC,14.3,12.5,13.4,13.4,0.0,0.0,1580.0,14.2,12.8,0.0,0.0,False
105,105,163,FIR,40.95,35.65,38.3,38.4,0.1,0.3,27310.0,38.6,38.3,0.0,0.0,False
106,106,164,FIT,13.8,12.0,12.9,12.65,-0.25,-1.9,591150.0,12.95,12.4,0.0,0.0,False
107,107,165,FLC,11.6,10.1,10.85,10.85,0.0,0.0,902720.0,10.95,10.7,4320.0,14010.0,False
108,108,166,FMC,53.0,46.15,49.6,49.5,-0.1,-0.2,13300.0,49.6,49.0,0.0,510.0,False
109,109,167,FPT,99.7,86.7,93.2,93.0,-0.2,-0.2,99690.0,93.9,93.0,2000.0,2230.0,False
110,110,168,FRT,48.55,42.25,45.4,47.55,2.15,4.7,373050.0,47.9,45.8,17040.0,10990.0,False
111,111,169,FTM,4.37,3.81,4.09,4.07,-0.02,-0.5,41160.0,4.2,3.9,100.0,200.0,False
112,112,170,FTS,60.8,53.0,56.9,55.5,-1.4,-2.5,32470.0,57.2,55.5,90.0,3780.0,False
113,113,179,GAB,209.2,182.0,195.6,195.4,-0.2,-0.1,20.0,195.5,195.4,0.0,10.0,False
114,114,180,GAS,103.5,90.1,96.8,97.0,0.2,0.2,124490.0,97.2,95.6,21460.0,1350.0,False
115,115,181,GDT,58.5,50.9,54.7,57.0,2.3,4.2,4360.0,58.0,54.9,1710.0,160.0,False
116,116,182,GEG,19.45,16.95,18.2,18.3,0.1,0.5,76400.0,18.5,18.2,7390.0,0.0,False
117,117,183,GEX,24.7,21.5,23.1,23.1,0.0,0.0,254800.0,23.7,22.95,3820.0,101850.0,False
118,118,184,GIL,71.1,61.9,66.5,66.4,-0.1,-0.2,20420.0,66.9,66.0,1570.0,770.0,False
119,119,185,GMC,30.65,26.65,28.65,28.05,-0.6,-2.1,70.0,28.1,28.05,0.0,0.0,False
120,120,186,GMD,52.0,45.25,48.65,49.6,0.95,2.0,123210.0,50.2,48.7,4360.0,0.0,False
121,121,187,GSP,17.15,14.95,16.05,15.8,-0.25,-1.6,30980.0,16.25,15.75,0.0,0.0,False
122,122,188,GTA,17.75,15.45,16.6,16.8,0.2,1.2,2540.0,17.35,16.6,0.0,0.0,False
123,123,189,GTN,19.7,17.2,18.45,18.45,0.0,0.0,32590.0,18.75,18.3,100.0,40.0,False
124,124,190,GVR,38.5,33.5,36.0,35.9,-0.1,-0.3,171880.0,36.5,35.9,410.0,3320.0,False
125,125,191,HAG,5.42,4.72,5.07,5.06,-0.01,-0.2,329090.0,5.13,5.05,150.0,4650.0,False
126,126,192,HAH,64.8,56.4,60.6,63.3,2.7,4.5,166730.0,63.7,60.4,6620.0,14050.0,False
127,127,193,HAI,4.54,3.96,4.25,4.3,0.05,1.2,151930.0,4.38,4.26,750.0,0.0,False
128,128,194,HAP,14.55,12.65,13.6,13.5,-0.1,-0.7,21310.0,13.8,13.3,1220.0,100.0,False
129,129,195,HAR,5.46,4.76,5.11,5.26,0.15,2.9,52370.0,5.33,5.11,150.0,2470.0,False
130,130,196,HAX,20.7,18.0,19.35,19.35,0.0,0.0,28370.0,19.65,19.1,620.0,10180.0,False
131,131,197,HBC,17.0,14.8,15.9,15.7,-0.2,-1.3,460190.0,15.95,15.65,1880.0,21150.0,False
132,132,198,HCD,9.94,8.64,9.29,9.72,0.43,4.6,47580.0,9.9,9.55,2250.0,1800.0,False
133,133,199,HCM,56.2,48.95,52.6,52.0,-0.6,-1.1,272540.0,53.2,52.0,5970.0,330.0,False
134,134,200,HDB,27.15,23.65,25.4,25.4,0.0,0.0,245210.0,25.5,25.2,32630.0,189280.0,False
135,135,201,HDC,76.7,66.7,71.7,73.6,1.9,2.6,49830.0,75.0,71.3,460.0,50.0,False
136,136,202,HDG,62.1,54.1,58.1,58.0,-0.1,-0.2,128910.0,59.0,56.4,4740.0,16770.0,False
137,137,203,HHP,13.0,11.3,12.15,12.35,0.2,1.6,19790.0,12.6,12.15,0.0,0.0,False
138,138,204,HHS,7.08,6.16,6.62,6.63,0.01,0.2,145090.0,6.8,6.58,750.0,370.0,False
139,139,205,HID,7.16,6.24,6.7,6.78,0.08,1.2,57670.0,6.88,6.69,1530.0,40.0,False
140,140,206,HII,18.9,16.5,17.7,17.85,0.15,0.8,57170.0,18.1,17.7,1190.0,0.0,False
141,141,207,HMC,30.15,26.25,28.2,28.3,0.1,0.4,9830.0,28.45,28.0,290.0,70.0,False
142,142,208,HNG,7.7,6.7,7.2,7.22,0.02,0.3,259450.0,7.3,7.21,7380.0,560.0,False
143,143,209,HPG,57.0,49.6,53.3,52.9,-0.4,-0.8,2314850.0,53.7,52.8,217400.0,561000.0,False
144,144,210,HPX,34.95,30.45,32.7,32.0,-0.7,-2.1,37740.0,32.95,31.65,0.0,380.0,False
145,145,211,HQC,3.76,3.28,3.52,3.53,0.01,0.3,578810.0,3.6,3.52,3660.0,7140.0,False
146,146,212,HRC,65.9,57.3,61.6,65.8,4.2,6.8,10.0,65.8,65.8,0.0,0.0,False
147,147,213,HSG,49.1,42.7,45.9,46.5,0.6,1.3,966730.0,47.2,46.05,137650.0,1930.0,False
148,148,214,HSL,7.69,6.69,7.19,7.2,0.01,0.1,2830.0,7.41,7.12,800.0,0.0,False
149,149,215,HT1,24.9,21.7,23.3,23.2,-0.1,-0.4,390570.0,23.7,22.95,8390.0,5230.0,False
150,150,216,HTI,20.25,17.65,18.95,18.75,-0.2,-1.1,12500.0,19.1,18.65,10.0,30.0,False
151,151,217,HTN,45.35,39.45,42.4,42.6,0.2,0.5,13000.0,42.9,42.4,140.0,0.0,False
152,152,218,HTV,16.7,14.6,15.65,15.65,0.0,0.0,1250.0,15.75,15.65,0.0,0.0,False
153,153,219,HU1,12.45,10.85,11.65,11.6,-0.05,-0.4,10.0,11.6,11.6,0.0,0.0,False
154,154,220,HU3,8.39,7.31,7.85,7.85,0.0,0.0,350.0,7.85,7.85,0.0,0.0,False
155,155,221,HUB,29.3,25.5,27.4,27.9,0.5,1.8,9260.0,29.1,27.4,210.0,0.0,False
156,156,222,HVH,10.35,9.01,9.68,9.72,0.04,0.4,71330.0,9.8,9.65,150.0,470.0,False
157,157,223,HVN,26.2,22.8,24.5,25.0,0.5,2.0,61120.0,25.2,24.5,3700.0,5770.0,False
158,158,224,HVX,8.48,7.38,7.93,8.48,0.55,6.9,10900.0,8.48,8.48,0.0,0.0,False
159,159,225,IBC,23.4,20.4,21.9,21.9,0.0,0.0,13390.0,22.1,21.0,0.0,30.0,False
160,160,226,ICT,24.15,21.05,22.6,22.6,0.0,0.0,7410.0,23.6,22.35,0.0,0.0,False
161,161,227,IDI,7.53,6.55,7.04,7.03,-0.01,-0.1,170550.0,7.25,7.02,60.0,520.0,False
162,162,228,IJC,29.7,25.9,27.8,27.85,0.05,0.2,253920.0,28.4,27.85,19040.0,0.0,False
163,163,229,ILB,34.0,29.6,31.8,32.9,1.1,3.5,7620.0,33.3,31.6,0.0,0.0,False
164,164,230,IMP,78.0,67.8,72.9,73.0,0.1,0.1,1560.0,73.0,72.8,0.0,0.0,False
165,165,231,ITA,7.71,6.71,7.21,7.19,-0.02,-0.3,651730.0,7.34,7.19,510.0,2000.0,False
166,166,232,ITC,16.05,13.95,15.0,15.35,0.35,2.3,68540.0,15.6,15.0,0.0,0.0,False
167,167,233,ITD,22.1,19.3,20.7,21.1,0.4,1.9,43420.0,21.5,20.5,700.0,50.0,False
168,168,234,JVC,7.07,6.15,6.61,6.73,0.12,1.8,172600.0,6.85,6.62,5920.0,830.0,False
169,169,235,KBC,46.8,40.7,43.75,43.5,-0.25,-0.6,476630.0,44.2,43.35,2160.0,28460.0,False
170,170,236,KDC,62.3,54.3,58.3,58.3,0.0,0.0,106640.0,58.3,57.5,180.0,100.0,False
171,171,237,KDH,44.5,38.7,41.6,41.6,0.0,0.0,96540.0,41.9,41.45,12350.0,26020.0,False
172,172,238,KHG,14.65,12.75,13.7,14.1,0.4,2.9,101340.0,14.6,13.6,20.0,0.0,False
173,173,239,KHP,7.65,6.65,7.15,7.29,0.14,2.0,9590.0,7.31,7.1,20.0,0.0,False
174,174,240,KMR,8.23,7.17,7.7,7.7,0.0,0.0,15690.0,8.0,7.65,0.0,1690.0,False
175,175,241,KOS,32.5,28.3,30.4,30.45,0.05,0.2,22770.0,31.4,30.15,0.0,440.0,False
176,176,242,KPF,17.65,15.35,16.5,16.4,-0.1,-0.6,18230.0,16.45,16.2,0.0,0.0,False
177,177,243,KSB,36.35,31.65,34.0,33.9,-0.1,-0.3,96460.0,34.8,33.8,30.0,7180.0,False
178,178,244,L10,20.75,18.05,19.4,19.4,0.0,0.0,120.0,19.4,19.4,0.0,0.0,False
179,179,245,LAF,16.15,14.05,15.1,15.1,0.0,0.0,10.0,15.1,15.1,0.0,0.0,False
180,180,246,LBM,68.9,59.9,64.4,64.4,0.0,0.0,130.0,64.4,63.7,130.0,0.0,False
181,181,247,LCG,20.05,17.45,18.75,18.5,-0.25,-1.3,325030.0,18.85,18.35,1550.0,6660.0,False
182,182,248,LCM,3.34,2.92,3.13,3.15,0.02,0.6,8880.0,3.3,3.1,0.0,100.0,False
183,183,249,LDG,7.39,6.43,6.91,7.22,0.31,4.5,441160.0,7.3,6.91,190.0,5070.0,False
184,184,250,LGC,52.5,45.7,49.1,50.0,0.9,1.8,120.0,50.0,49.1,0.0,0.0,False
185,185,251,LGL,7.99,6.95,7.47,7.49,0.02,0.3,10810.0,7.49,7.32,0.0,900.0,False
186,186,252,LHG,51.8,45.1,48.45,48.9,0.45,0.9,19160.0,49.4,48.45,1220.0,0.0,False
187,187,253,LIX,59.9,52.1,56.0,56.9,0.9,1.6,1290.0,57.0,56.5,0.0,360.0,False
188,188,254,LM8,12.75,11.15,11.95,12.05,0.1,0.8,1060.0,12.1,11.6,0.0,0.0,False
189,189,255,LPB,23.2,20.2,21.7,21.65,-0.05,-0.2,270880.0,21.85,21.65,3900.0,2070.0,False
